Numéro;Titre;Artiste;Style;miniature;description;
0;WIB;Philippe Blaze;Gwoka évolutif;../assets/img/miniature/WIB.png;Un voyage musical caribéen instrumental en gwoka évolutif.;
1;DLO;Philippe Blaze;Gwoka évolutif;../assets/img/miniature/DLO.png;#TeddyRINER : la force sympathique. #GWOKAévolutif . DLO #EAU #WATER ressource rare  meilleure boisson au monde. Les #maresdeGuadeloupe élément original du patrimoine où flore et faune peuvent cohabiter allègrement. Ban nou dlo ! Ola dlo-la yé ? Anmwééééééé !DLO ! un titre de mon dernier album.;
2;Fòs é kouraj;Philippe Blaze;Gwoka évolutif;../assets/img/miniature/Fòs é kouraj.png;#GWOKA;Fòs é kouraj est un titre tiré de l'album MISIYON de 12 titres du groupe JÒD'LA de Philippe BLAZE;
3;Piétònn'la;Philippe Blaze;Gwoka évolutif;../assets/img/miniature/Piétònn la (Philippe BLAZE).png;#GWOKA. Piétònn'la : Un des 13 titres de mon dernier album nommé Eritaj qui comporte des chansons et des instrumentaux. #confinement oblige : je vous ai filmé ce titre en live;
4;Sò a limanité;Philippe Blaze;Gwoka évolutif;../assets/img/miniature/Sò a limanité.png;Une chanson d'actualité dans l'esprit ka évolutif offerte aux fans et aux autres;
5;Sonjé BINO;Philippe Blaze;Gwoka évolutif;../assets/img/miniature/Sonjé BINO (Philippe BLAZE).png;#gwokaévolutif. A la demande de nombre d'entre vous voici l'intégralité de ma chanson Sonjé BINO. Mai 1802 ok. Mai 67 ok. Mais n'oublions surtout pas le dernier militant ayant perdu sa vie pour le peuple guadeloupéen lors de la mobilisation en janvier-février 2009. Sonjé BINO .Extrait de l'abum MISYON du groupe JÒD'LA publié en 2011.;
6;Lily de Pierre PERRET;Philippe Blaze;Vidéo en Live;../assets/img/miniature/LILY.png;#pierreperretUne chanson de Pierre PERRET sortie en 1977 : son humanisme et sa grandeur d'âme lui ont valu le pilori. 43 ans après rien n'a changé les choses ont empiré le racisme s'affiche partout au grand jour et se banalise.;
7;Petite Marie de Francis CABREL;Philippe Blaze;Vidéo en Live;../assets/img/miniature/Petite_Marie.png;Je chante pour vous Petite Marie de #FrancisCABREL un artiste français que j'apprécie.;
8;Nou mélé;Philippe Blaze;Vidéo en Live;../assets/img/miniature/Nou_mélé_Philippe_BLAZE.png;#gwokaévolutif. Nou mélé : version acoustique guitare/voix d'une chanson de l'un des albums de mon groupe JÒDLA évoquant une page de l'histoire contemporaine de la Guadeloupe. Bonne écoute. Version CD en rupture de stocks. Sera bientôt sur les plateformes de téléchargement.#Gwokaévolutif;
9;Chanson hommage à 3 Gwo-Mòdan;Philippe Blaze;Vidéo en Live;../assets/img/miniature/Chanson_Hommage_aux_Gwo_Mòdan.png;Un hommage un clin d'oeil à ces Gwo Mòdan (lions) qui nous ont quittés ces jours-ci : #ManuDIBANGO dont je chante ici le refrain de sa chanson #SOULMAKOSSA  #PapeDIOUF personnalité du foot Sarah MALDOROR d'origine marie-galantaise cinéaste pionnière du cinéma panafricain #CHRISTOPHE dont j'interprète ici la chanson Aline. Hommage aussi à tous les autres qui ont tiré leur révérence victimes de la petite bête.;
10;Piano-bar;Philippe Blaze;Vidéo en Live;../assets/img/miniature/Philippe_BLAZE_piano_bar.png;Échantillons de 15 chansons de variétés antillaises et françaises sur la centaine que je chante lors de mes prestations hôtel restaurant association fête de famille etc.;
11;Sèl si on gran chimen;Philippe Blaze;Vidéo en Live;../assets/img/miniature/Sèl_si_on_gran_chimen.png;#zouk. Une illustration de ma période zouk - début des années 90;
12;Ekzòd;Philippe Blaze;Reggae;../assets/img/miniature/Ekzòd.png;L'une des chansons que j'ai écrites durant mes années"vingtaine" période reggae. Le petit avec des nattes c'est moi... Eh oui ! j'ai été petit !!!  :);
13;Avé Maria Antillais;Philippe Blaze;Une vidéo de Ballade Créole;../assets/img/miniature/Avé Maria Antillais.png;Feu mon grand ami Guy CORDOVAL [11-08-1929 / 04-05-2003] auteur-compositeur-interprète Guadeloupéen qu'on ne présente plus grâce à sa chanson "La complainte noire" publiée au milieu des années 60 fut en son temps un artiste hors normes hors série n'étant ni un suiveur ni un meneur de mode tout en étant de son époque. Beaucoup de ses chansons interrogent sur les situations du moment. Avec des textes poétiques et des harmonies riches il mettait souvent le doigt sur des sujets que les artistes populaires n'osaient aborder. L'un des paradoxes de Guy CORDOVAL réside dans le fait qu'il évoquait des sujets comme dans "La complainte noire"  en disant "Mandé mandé Bondyé..." ou alors en écrivant l'"Avé Maria Antillais" alors qu'il n'était pas religieux et ne fréquentait pas les églises.;
14;Pénélope;Philippe Blaze;Salsa;../assets/img/miniature/Pénélope.png;François Fillon pénélope et les élections présidentielles 2017.;
15;Konjé bonifié;Philippe Blaze;Biguine;../assets/img/miniature/Konjé bonifié.png;#biguine #musiqueantillaise Une chanson qui parlera à tous ou presque  :);
16;blokaj;Philippe Blaze;Biguine;../assets/img/miniature/blokaj.png;GWO KA évolutif;